transformation,component_transformed,score_melody,score_harmony,score_rhythm,score_global,observations
simplification,Melodia,0.457886,0.000000,0.000000,0.183154,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.639136,0.333333,0.707031,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.639136,1.000000,0.873698,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.639136,0.333333,0.707031,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.639136,0.000000,0.223698,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.073534,0.018384,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
interval_modification,Melodia,0.637895,0.000000,0.000000,0.255158,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.624262,0.000000,0.000000,0.249705,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.063748,0.015937,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.676667,0.000000,0.236833,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.938889,0.000000,0.328611,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.365172,0.000000,0.000000,0.146069,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.641358,0.333333,0.707809,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.641358,1.000000,0.874475,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.641358,0.333333,0.707809,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.641358,0.000000,0.224475,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.115831,0.028958,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
interval_modification,Melodia,0.637895,0.000000,0.000000,0.255158,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.624262,0.000000,0.000000,0.249705,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.113944,0.028486,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
reharmonization,Harmonia,0.000000,0.673333,0.000000,0.235667,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.863258,0.000000,0.302140,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.501907,0.000000,0.000000,0.200763,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.603128,0.344444,0.697206,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.603128,1.000000,0.861095,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.603128,0.344444,0.697206,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.344444,0.836111,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.603128,0.000000,0.211095,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.117126,0.029282,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
interval_modification,Melodia,0.668430,0.000000,0.000000,0.267372,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.635556,0.000000,0.000000,0.254222,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.115424,0.028856,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
reharmonization,Harmonia,0.000000,0.656566,0.000000,0.229798,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.871212,0.000000,0.304924,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.483517,0.000000,0.000000,0.193407,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.344444,0.086111,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.644433,0.333333,0.708885,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.644433,1.000000,0.875551,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.644433,0.333333,0.708885,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.644433,0.000000,0.225551,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.052816,0.013204,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.628962,0.000000,0.000000,0.251585,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.633013,0.000000,0.000000,0.253205,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.049584,0.012396,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.692857,0.000000,0.242500,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.751389,0.000000,0.262986,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.516274,0.000000,0.000000,0.206510,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.643021,0.333333,0.708391,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.643021,1.000000,0.875057,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.643021,0.333333,0.708391,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.643021,0.000000,0.225057,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.053293,0.013323,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.653153,0.000000,0.000000,0.261261,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.717011,0.000000,0.000000,0.286804,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.053226,0.013306,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.701989,0.000000,0.245696,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.790996,0.000000,0.276849,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.530423,0.000000,0.000000,0.212169,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.622722,0.333333,0.701286,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.622722,1.000000,0.867953,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.622722,0.333333,0.701286,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.622722,0.000000,0.217953,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.066223,0.016556,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.603128,0.000000,0.000000,0.241251,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.674111,0.000000,0.000000,0.269644,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.067121,0.016780,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
reharmonization,Harmonia,0.000000,0.665167,0.000000,0.232809,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.753332,0.000000,0.263666,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.505050,0.000000,0.000000,0.202020,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.673957,0.333333,0.719218,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
melody_harmony,Combinações,1.000000,0.673957,1.000000,0.885885,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.673957,0.333333,0.719218,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.673957,0.000000,0.235885,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.062419,0.015605,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
interval_modification,Melodia,0.658182,0.000000,0.000000,0.263273,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.610811,0.000000,0.000000,0.244324,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.063608,0.015902,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.717122,0.000000,0.250993,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.886905,0.000000,0.310417,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.646667,0.000000,0.000000,0.258667,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
melody_harmony_rhythm,Combinações,1.000000,0.653241,0.333333,0.711968,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.653241,1.000000,0.878634,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.653241,0.333333,0.711968,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.653241,0.000000,0.228634,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.069266,0.017317,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
interval_modification,Melodia,0.617753,0.000000,0.000000,0.247101,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.637807,0.000000,0.000000,0.255123,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.065428,0.016357,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
reharmonization,Harmonia,0.000000,0.680555,0.000000,0.238194,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.721476,0.000000,0.252516,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.541600,0.000000,0.000000,0.216640,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
