pair_id,pair_type,transformation,component_transformed,score_melody,score_harmony,score_rhythm,simple_average,weighted_average,score_global,score_gap,transformed_component_score,global_delta,observations
pair_000011,positive,simplification,Harmonia,0.000000,0.836309,0.000000,0.278770,0.292708,0.292708,0.836309,0.836309,-0.543601,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000012,positive,simplification,Melodia,0.540965,0.000000,0.000000,0.180322,0.216386,0.216386,0.540965,0.540965,-0.324579,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000013,positive,tempo_change,Ritmo,0.000000,0.000000,0.333333,0.111111,0.083333,0.083333,0.333333,0.333333,-0.250000,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000014,positive,transpose,Melodia,1.000000,0.000000,0.000000,0.333333,0.400000,0.400000,1.000000,1.000000,-0.600000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000015,positive,melody_harmony_rhythm,Combinações,1.000000,0.632710,0.333333,0.655348,0.704782,0.704782,0.666667,0.655348,0.049434,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000016,positive,melody_harmony,Combinações,1.000000,0.632710,1.000000,0.877570,0.871448,0.871448,0.367290,0.877570,-0.006122,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000017,positive,harmony_rhythm,Combinações,1.000000,0.632710,0.333333,0.655348,0.704782,0.704782,0.666667,0.655348,0.049434,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000018,positive,melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.777778,0.833333,0.833333,0.666667,0.777778,0.055555,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000019,positive,chord_substitution,Harmonia,0.000000,0.632710,0.000000,0.210903,0.221448,0.221448,0.632710,0.632710,-0.411262,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000020,positive,duration_scaling,Ritmo,0.000000,0.000000,0.064160,0.021387,0.016040,0.016040,0.064160,0.064160,-0.048120,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
pair_000021,positive,interval_modification,Melodia,0.624183,0.000000,0.000000,0.208061,0.249673,0.249673,0.624183,0.624183,-0.374510,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000022,positive,ornamentation,Melodia,0.591588,0.000000,0.000000,0.197196,0.236635,0.236635,0.591588,0.591588,-0.354953,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000023,positive,partial_rhythm_modification,Ritmo,0.000000,0.000000,0.061770,0.020590,0.015443,0.015443,0.061770,0.061770,-0.046327,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
pair_000024,positive,reharmonization,Harmonia,0.000000,0.694712,0.000000,0.231571,0.243149,0.243149,0.694712,0.694712,-0.451563,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000025,positive,simplification,Harmonia,0.000000,0.951399,0.000000,0.317133,0.332990,0.332990,0.951399,0.951399,-0.618409,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000026,positive,simplification,Melodia,0.488325,0.000000,0.000000,0.162775,0.195330,0.195330,0.488325,0.488325,-0.292995,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000027,positive,tempo_change,Ritmo,0.000000,0.000000,0.333333,0.111111,0.083333,0.083333,0.333333,0.333333,-0.250000,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000028,positive,transpose,Melodia,1.000000,0.000000,0.000000,0.333333,0.400000,0.400000,1.000000,1.000000,-0.600000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000029,positive,melody_harmony_rhythm,Combinações,1.000000,0.661319,0.333333,0.664884,0.714795,0.714795,0.666667,0.664884,0.049911,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000030,positive,melody_harmony,Combinações,1.000000,0.661319,1.000000,0.887106,0.881462,0.881462,0.338681,0.887106,-0.005644,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000031,positive,harmony_rhythm,Combinações,1.000000,0.661319,0.333333,0.664884,0.714795,0.714795,0.666667,0.664884,0.049911,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000032,positive,melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.777778,0.833333,0.833333,0.666667,0.777778,0.055555,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000033,positive,chord_substitution,Harmonia,0.000000,0.661319,0.000000,0.220440,0.231462,0.231462,0.661319,0.661319,-0.429857,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000034,positive,duration_scaling,Ritmo,0.000000,0.000000,0.161776,0.053925,0.040444,0.040444,0.161776,0.161776,-0.121332,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000035,positive,interval_modification,Melodia,0.642857,0.000000,0.000000,0.214286,0.257143,0.257143,0.642857,0.642857,-0.385714,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000036,positive,ornamentation,Melodia,0.601068,0.000000,0.000000,0.200356,0.240427,0.240427,0.601068,0.601068,-0.360641,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000037,positive,partial_rhythm_modification,Ritmo,0.000000,0.000000,0.155338,0.051779,0.038835,0.038835,0.155338,0.155338,-0.116503,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000038,positive,reharmonization,Harmonia,0.000000,0.684407,0.000000,0.228136,0.239542,0.239542,0.684407,0.684407,-0.444865,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000039,positive,simplification,Harmonia,0.000000,0.931372,0.000000,0.310458,0.325980,0.325980,0.931372,0.931372,-0.605392,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000040,positive,simplification,Melodia,0.475000,0.000000,0.000000,0.158333,0.190000,0.190000,0.475000,0.475000,-0.285000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000041,positive,tempo_change,Ritmo,0.000000,0.000000,0.333333,0.111111,0.083333,0.083333,0.333333,0.333333,-0.250000,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000042,positive,transpose,Melodia,1.000000,0.000000,0.000000,0.333333,0.400000,0.400000,1.000000,1.000000,-0.600000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000043,positive,melody_harmony_rhythm,Combinações,1.000000,0.671776,0.333333,0.668370,0.718455,0.718455,0.666667,0.668370,0.050085,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000044,positive,melody_harmony,Combinações,1.000000,0.671776,1.000000,0.890592,0.885122,0.885122,0.328224,0.890592,-0.005470,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000045,positive,harmony_rhythm,Combinações,1.000000,0.671776,0.333333,0.668370,0.718455,0.718455,0.666667,0.668370,0.050085,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000046,positive,melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.777778,0.833333,0.833333,0.666667,0.777778,0.055555,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000047,positive,chord_substitution,Harmonia,0.000000,0.671776,0.000000,0.223926,0.235122,0.235122,0.671776,0.671776,-0.436654,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000048,positive,duration_scaling,Ritmo,0.000000,0.000000,0.064763,0.021588,0.016191,0.016191,0.064763,0.064763,-0.048572,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
pair_000049,positive,interval_modification,Melodia,0.687500,0.000000,0.000000,0.229167,0.275000,0.275000,0.687500,0.687500,-0.412500,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000050,positive,ornamentation,Melodia,0.657895,0.000000,0.000000,0.219298,0.263158,0.263158,0.657895,0.657895,-0.394737,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000051,positive,partial_rhythm_modification,Ritmo,0.000000,0.000000,0.064332,0.021444,0.016083,0.016083,0.064332,0.064332,-0.048249,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
pair_000052,positive,reharmonization,Harmonia,0.000000,0.684407,0.000000,0.228136,0.239542,0.239542,0.684407,0.684407,-0.444865,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000053,positive,simplification,Harmonia,0.000000,0.775163,0.000000,0.258388,0.271307,0.271307,0.775163,0.775163,-0.503856,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000054,positive,simplification,Melodia,0.475000,0.000000,0.000000,0.158333,0.190000,0.190000,0.475000,0.475000,-0.285000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000055,positive,tempo_change,Ritmo,0.000000,0.000000,0.333333,0.111111,0.083333,0.083333,0.333333,0.333333,-0.250000,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000056,positive,transpose,Melodia,1.000000,0.000000,0.000000,0.333333,0.400000,0.400000,1.000000,1.000000,-0.600000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000057,positive,melody_harmony_rhythm,Combinações,1.000000,0.620652,0.333333,0.651329,0.700562,0.700562,0.666667,0.651328,0.049234,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000058,positive,melody_harmony,Combinações,1.000000,0.620652,1.000000,0.873551,0.867228,0.867228,0.379348,0.873551,-0.006323,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000059,positive,harmony_rhythm,Combinações,1.000000,0.620652,0.333333,0.651329,0.700562,0.700562,0.666667,0.651328,0.049234,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000060,positive,melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.777778,0.833333,0.833333,0.666667,0.777778,0.055555,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000061,positive,chord_substitution,Harmonia,0.000000,0.620652,0.000000,0.206884,0.217228,0.217228,0.620652,0.620652,-0.403424,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000062,positive,duration_scaling,Ritmo,0.000000,0.000000,0.059096,0.019699,0.014774,0.014774,0.059096,0.059096,-0.044322,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
pair_000063,positive,interval_modification,Melodia,0.603128,0.000000,0.000000,0.201043,0.241251,0.241251,0.603128,0.603128,-0.361877,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000064,positive,ornamentation,Melodia,0.648470,0.000000,0.000000,0.216157,0.259388,0.259388,0.648470,0.648470,-0.389082,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000065,positive,partial_rhythm_modification,Ritmo,0.000000,0.000000,0.056007,0.018669,0.014002,0.014002,0.056007,0.056007,-0.042005,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
pair_000066,positive,reharmonization,Harmonia,0.000000,0.670964,0.000000,0.223655,0.234838,0.234838,0.670964,0.670964,-0.436126,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000067,positive,simplification,Harmonia,0.000000,0.874106,0.000000,0.291369,0.305937,0.305937,0.874106,0.874106,-0.568169,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000068,positive,simplification,Melodia,0.458875,0.000000,0.000000,0.152958,0.183550,0.183550,0.458875,0.458875,-0.275325,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000069,positive,tempo_change,Ritmo,0.000000,0.000000,0.333333,0.111111,0.083333,0.083333,0.333333,0.333333,-0.250000,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000070,positive,transpose,Melodia,1.000000,0.000000,0.000000,0.333333,0.400000,0.400000,1.000000,1.000000,-0.600000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000071,positive,melody_harmony_rhythm,Combinações,1.000000,0.674811,0.333333,0.669382,0.719517,0.719517,0.666667,0.669382,0.050135,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000072,positive,melody_harmony,Combinações,1.000000,0.674811,1.000000,0.891604,0.886184,0.886184,0.325189,0.891604,-0.005420,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000073,positive,harmony_rhythm,Combinações,1.000000,0.674811,0.333333,0.669382,0.719517,0.719517,0.666667,0.669382,0.050135,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000074,positive,melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.777778,0.833333,0.833333,0.666667,0.777778,0.055555,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000075,positive,chord_substitution,Harmonia,0.000000,0.674811,0.000000,0.224937,0.236184,0.236184,0.674811,0.674811,-0.438627,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000076,positive,duration_scaling,Ritmo,0.000000,0.000000,0.059734,0.019911,0.014933,0.014933,0.059734,0.059734,-0.044801,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
pair_000077,positive,interval_modification,Melodia,0.658182,0.000000,0.000000,0.219394,0.263273,0.263273,0.658182,0.658182,-0.394909,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000078,positive,ornamentation,Melodia,0.646296,0.000000,0.000000,0.215432,0.258519,0.258519,0.646296,0.646296,-0.387777,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000079,positive,partial_rhythm_modification,Ritmo,0.000000,0.000000,0.056028,0.018676,0.014007,0.014007,0.056028,0.056028,-0.042021,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global permaneceu coerente com o componente transformado.
pair_000080,positive,reharmonization,Harmonia,0.000000,0.717122,0.000000,0.239041,0.250993,0.250993,0.717122,0.717122,-0.466129,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000081,positive,simplification,Harmonia,0.000000,0.833333,0.000000,0.277778,0.291667,0.291667,0.833333,0.833333,-0.541666,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000082,positive,simplification,Melodia,0.602759,0.000000,0.000000,0.200920,0.241103,0.241103,0.602759,0.602759,-0.361656,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000083,positive,tempo_change,Ritmo,0.000000,0.000000,0.333333,0.111111,0.083333,0.083333,0.333333,0.333333,-0.250000,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000084,positive,transpose,Melodia,1.000000,0.000000,0.000000,0.333333,0.400000,0.400000,1.000000,1.000000,-0.600000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000085,positive,melody_harmony_rhythm,Combinações,1.000000,0.608521,0.333333,0.647285,0.696316,0.696316,0.666667,0.647285,0.049031,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000086,positive,melody_harmony,Combinações,1.000000,0.608521,1.000000,0.869507,0.862982,0.862982,0.391479,0.869507,-0.006525,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000087,positive,harmony_rhythm,Combinações,1.000000,0.608521,0.333333,0.647285,0.696316,0.696316,0.666667,0.647285,0.049031,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
