source_file,segment_file,start_measure,end_measure,measures,start_time_seconds,end_time_seconds,random_seed
239.mid,239_segment_02.mid,38,45,8,138.742858,168.728506,42
251.mid,251_segment_01.mid,28,35,8,54.000000,70.000000,42
251.mid,251_segment_02.mid,104,111,8,206.000000,222.000000,42
271.mid,271_segment_01.mid,12,19,8,35.675640,61.621560,42
271.mid,271_segment_02.mid,32,39,8,100.540440,126.486360,42
274.mid,274_segment_01.mid,48,55,8,104.444152,122.221880,42
274.mid,274_segment_02.mid,63,70,8,137.777392,155.555120,42
282.mid,282_segment_01.mid,6,13,8,16.438340,42.739684,42
282.mid,282_segment_02.mid,49,56,8,157.808064,184.109408,42
285.mid,285_segment_01.mid,1,8,8,0.000000,28.235232,42
285.mid,285_segment_02.mid,53,60,8,183.529008,211.764240,42
297.mid,297_segment_01.mid,34,41,8,116.470464,144.705728,42
297.mid,297_segment_02.mid,59,66,8,204.705664,232.940928,42
301.mid,301_segment_01.mid,9,16,8,32.820512,65.641024,42
301.mid,301_segment_02.mid,57,64,8,229.743584,262.564096,42
345.mid,345_segment_01.mid,16,23,8,45.000000,69.000000,42
345.mid,345_segment_02.mid,56,63,8,165.000000,189.000000,42
349.mid,349_segment_01.mid,20,27,8,71.250000,101.250000,42
349.mid,349_segment_02.mid,24,31,8,86.250000,116.250000,42
353.mid,353_segment_01.mid,39,46,8,32.580744,39.439848,42
353.mid,353_segment_02.mid,63,70,8,53.158056,60.017160,42
364.mid,364_segment_01.mid,57,64,8,54.634160,62.439040,42
364.mid,364_segment_02.mid,114,121,8,110.243930,118.048810,42
368.mid,368_segment_01.mid,134,141,8,96.144370,101.927490,42
368.mid,368_segment_02.mid,397,404,8,286.264440,292.047560,42
371.mid,371_segment_01.mid,42,49,8,29.171131,34.863059,42
371.mid,371_segment_02.mid,262,269,8,185.655479,191.347407,42
374.mid,374_segment_01.mid,149,156,8,111.697820,117.735540,42
374.mid,374_segment_02.mid,307,314,8,230.942790,236.980510,42
380.mid,380_segment_01.mid,70,77,8,63.692313,71.076929,42
380.mid,380_segment_02.mid,300,307,8,276.000023,283.384639,42
388.mid,388_segment_01.mid,18,25,8,13.600000,20.000000,42
388.mid,388_segment_02.mid,20,27,8,15.200000,21.600000,42
390.mid,390_segment_01.mid,20,27,8,11.400000,16.200000,42
390.mid,390_segment_02.mid,323,330,8,193.200000,198.000000,42
430.mid,430_segment_01.mid,156,163,8,86.111025,90.555465,42
430.mid,430_segment_02.mid,320,327,8,177.222045,181.666485,42
433.mid,433_segment_01.mid,110,117,8,109.000000,117.000000,42
433.mid,433_segment_02.mid,113,120,8,112.000000,120.000000,42
460.mid,460_segment_01.mid,36,43,8,29.166620,35.833276,42
460.mid,460_segment_02.mid,114,121,8,94.166516,100.833172,42
465.mid,465_segment_01.mid,34,41,8,33.000000,41.000000,42
465.mid,465_segment_02.mid,129,136,8,128.000000,136.000000,42
471.mid,471_segment_01.mid,81,88,8,84.513766,92.825920,42
471.mid,471_segment_02.mid,177,184,8,186.197799,194.648503,42
518.mid,518_segment_01.mid,25,32,8,13.846152,18.461536,42
518.mid,518_segment_02.mid,213,220,8,122.307676,126.923060,42
547.mid,547_segment_01.mid,131,138,8,65.000000,69.000000,42
547.mid,547_segment_02.mid,299,306,8,149.000000,153.000000,42
550.mid,550_segment_01.mid,130,137,8,85.999785,91.333105,42
550.mid,550_segment_02.mid,314,321,8,208.666145,213.999465,42
559.mid,559_segment_01.mid,24,31,8,14.838680,19.999960,42
559.mid,559_segment_02.mid,322,329,8,207.337126,212.498406,42
566.mid,566_segment_01.mid,61,68,8,173.493840,196.626352,42
566.mid,566_segment_02.mid,71,78,8,202.409480,225.541992,42
575.mid,575_segment_01.mid,105,112,8,87.774112,94.534664,42
575.mid,575_segment_02.mid,218,225,8,183.194665,189.915901,42
592.mid,592_segment_01.mid,204,211,8,110.355108,114.698988,42
592.mid,592_segment_02.mid,297,304,8,161.074889,165.438521,42
604.mid,604_segment_01.mid,21,28,8,20.689640,28.965496,42
604.mid,604_segment_02.mid,215,222,8,221.379148,229.655004,42
605.mid,605_segment_01.mid,48,55,8,44.493490,52.066850,42
605.mid,605_segment_02.mid,71,78,8,66.266900,73.840260,42
617.mid,617_segment_01.mid,81,88,8,53.392480,58.731728,42
617.mid,617_segment_02.mid,233,240,8,154.838192,160.177440,42
619.mid,619_segment_01.mid,24,31,8,14.526294,19.578918,42
619.mid,619_segment_02.mid,129,136,8,80.841984,85.894608,42
624.mid,624_segment_01.mid,76,83,8,122.950800,136.030412,42
624.mid,624_segment_02.mid,126,133,8,204.756633,217.725016,42
634.mid,634_segment_01.mid,47,54,8,25.610317,30.080770,42
634.mid,634_segment_02.mid,336,343,8,186.485319,190.940071,42
644.mid,644_segment_01.mid,229,236,8,210.544159,217.928759,42
644.mid,644_segment_02.mid,244,251,8,224.390284,231.774884,42
651.mid,651_segment_01.mid,20,27,8,18.387079,26.129007,42
651.mid,651_segment_02.mid,60,67,8,57.096719,64.838647,42
655.mid,655_segment_01.mid,12,19,8,6.600000,11.400000,42
655.mid,655_segment_02.mid,82,89,8,48.602198,53.426318,42
664.mid,664_segment_01.mid,201,208,8,107.157358,111.443070,42
664.mid,664_segment_02.mid,382,389,8,204.121592,208.407304,42
666.mid,666_segment_01.mid,260,267,8,178.620645,184.137885,42
666.mid,666_segment_02.mid,313,320,8,215.172360,220.689600,42
678.mid,678_segment_01.mid,126,133,8,112.469376,119.686226,42
678.mid,678_segment_02.mid,213,220,8,190.778504,197.974904,42
687.mid,687_segment_01.mid,282,289,8,144.926821,149.058513,42
687.mid,687_segment_02.mid,436,443,8,224.308735,228.435991,42
693.mid,693_segment_01.mid,50,57,8,36.521709,42.484437,42
693.mid,693_segment_02.mid,95,102,8,70.062054,76.024782,42
700.mid,700_segment_01.mid,87,94,8,54.893542,59.999918,42
700.mid,700_segment_02.mid,371,378,8,236.169890,241.276266,42
715.mid,715_segment_01.mid,34,41,8,21.521709,26.739093,42
715.mid,715_segment_02.mid,337,344,8,219.130128,224.347512,42
719.mid,719_segment_01.mid,88,95,8,91.578897,99.999945,42
719.mid,719_segment_02.mid,191,198,8,199.999890,208.420938,42
722.mid,722_segment_01.mid,171,178,8,124.829597,130.703890,42
722.mid,722_segment_02.mid,305,312,8,223.194837,229.069989,42
734.mid,734_segment_01.mid,194,201,8,186.774206,194.516142,42
734.mid,734_segment_02.mid,211,218,8,203.225820,210.967756,42
748.mid,748_segment_01.mid,166,173,8,133.783650,140.270130,42
748.mid,748_segment_02.mid,210,217,8,169.459290,175.945770,42
755.mid,755_segment_01.mid,97,104,8,81.841478,88.649990,42
755.mid,755_segment_02.mid,140,147,8,118.538547,125.381051,42
759.mid,759_segment_01.mid,104,111,8,65.744591,70.850967,42
759.mid,759_segment_02.mid,121,128,8,76.595640,81.702016,42
760.mid,760_segment_01.mid,89,96,8,37.078536,40.449312,42
760.mid,760_segment_02.mid,126,133,8,52.668375,56.039151,42
778.mid,778_segment_01.mid,78,85,8,64.166564,70.833220,42
778.mid,778_segment_02.mid,82,89,8,67.499892,74.166548,42
782.mid,782_segment_01.mid,5,12,8,3.750000,11.250000,42
782.mid,782_segment_02.mid,191,198,8,178.125000,185.625000,42
792.mid,792_segment_01.mid,30,37,8,19.772722,25.227266,42
792.mid,792_segment_02.mid,313,320,8,212.727216,218.181760,42
825.mid,825_segment_01.mid,116,123,8,78.409070,83.863614,42
825.mid,825_segment_02.mid,321,328,8,218.208551,223.663095,42
826.mid,826_segment_01.mid,36,43,8,32.307625,39.692225,42
826.mid,826_segment_02.mid,207,214,8,190.009520,197.382792,42
827.mid,827_segment_01.mid,367,374,8,189.310206,193.448134,42
827.mid,827_segment_02.mid,400,407,8,206.379159,210.517087,42
829.mid,829_segment_01.mid,223,230,8,118.928508,123.214220,42
829.mid,829_segment_02.mid,412,419,8,220.178454,224.464166,42
859.mid,859_segment_01.mid,51,58,8,21.428550,24.857118,42
859.mid,859_segment_02.mid,301,308,8,128.571300,131.999868,42
866.mid,866_segment_01.mid,273,280,8,189.112176,194.680616,42
866.mid,866_segment_02.mid,345,352,8,239.228136,244.796576,42
875.mid,875_segment_01.mid,40,47,8,31.621590,38.108070,42
875.mid,875_segment_02.mid,49,56,8,38.918880,45.405360,42
881.mid,881_segment_01.mid,228,235,8,223.278562,231.147410,42
881.mid,881_segment_02.mid,291,298,8,285.245740,293.114588,42
889.mid,889_segment_01.mid,9,16,8,7.500000,15.183376,42
889.mid,889_segment_02.mid,22,29,8,19.896088,27.396088,42
894.mid,894_segment_01.mid,118,125,8,94.883394,101.369874,42
894.mid,894_segment_02.mid,223,230,8,179.991628,186.478108,42
897.mid,897_segment_01.mid,178,185,8,136.153710,142.307550,42
897.mid,897_segment_02.mid,269,276,8,206.153640,212.307480,42
900.mid,900_segment_01.mid,34,41,8,30.879120,38.498168,42
900.mid,900_segment_02.mid,127,134,8,119.450553,127.069601,42
